run	success	app_xt	app_R2	car_xt	car_R2	pick	deliv
f8_ctrl_r6	0.9199	0.3842	0.7384	0.0664	0.8509	0.9668	0.8308
f8_ctrl_r7	0.9268	0.3627	0.7523	0.0628	0.8557	0.9727	0.8507
f8_ctrl_r8	0.9082	0.3821	0.7738	0.0710	0.8399	0.9707	0.7313
f8_base_r5	0.8945	0.3048	0.8829	0.0596	0.9447	0.9785	0.6545
f8_base_r6	0.8867	0.2963	0.8992	0.0616	0.9310	0.9746	0.6667
f8_base_r7	0.9160	0.3044	0.8790	0.0587	0.9432	0.9590	0.7636
f8_base_r8	0.9082	0.2991	0.8929	0.0570	0.9287	0.9766	0.7500
f8_pen06_r5	0.8428	0.1598	0.9579	0.0499	0.9744	0.9648	0.6324
f8_pen06_r6	0.8623	0.1681	0.9632	0.0542	0.9688	0.9727	0.6406
f8_pen06_r7	0.8721	0.1825	0.9502	0.0546	0.9749	0.9707	0.7857
f8_pen06_r8	0.8438	0.1818	0.9579	0.0571	0.9737	0.9609	0.6111
f8_lat20_r5	0.5625	0.1057	0.9771	0.0699	0.9775	0.9043	0.4107
f8_lat20_r6	0.5713	0.1196	0.9796	0.0686	0.9714	0.9180	0.3548
f8_lat20_r7	0.5918	0.1132	0.9803	0.0678	0.9744	0.8965	0.4130
f8_lat20_r8	0.6016	0.1285	0.9756	0.0688	0.9754	0.8809	0.6667
f9_nat_pen06_r5	0.8672	0.2553	0.9216	0.0583	0.9592	0.9766	0.6620
f9_nat_pen06_r6	0.8574	0.2404	0.9252	0.0571	0.9564	0.9688	0.8404
f9_nat_pen06_r7	0.8574	0.2456	0.9188	0.0557	0.9543	0.9746	0.6250
